report_date,campaign_key,campaign_name,platform,campaign_group,funnel_stage,campaign_key_type,receita,orders,visits,investimento,impressions,clicks,roas,receita_safe_ad,receita_excecao_manual,receita_pmax_sem_anuncio,receita_por_nome_campanha,receita_outro,receita_anuncio_ambiguo,receita_nao_casado,investimento_anuncio,investimento_campanha,pct_receita_assertiva,pct_receita_anuncio_ambiguo,pct_receita_assertiva_alta,pct_investimento_anuncio,motivos_receita,motivos_investimento
2025-11-03,id|azul|google ads|6504006924,BRV_VA_GOOGLE_SEARCH_LF_AON-MARCA-BRD_PASS,Google Ads,AON-MARCA-BRD,Conversão,id,20696.29,42,731,36402.569999999992,86541,60650,0.56853925423397322,20696.29,0,0,0,0,0,0,36402.569999999992,0,100,0,100,100,safe_ad,anuncio
2025-11-03,id|azul|google ads|18482497357,BRV_VA_GOOGLE_SEARCH_LF_AON-CONCORRENTES-NBRD_PASS,Google Ads,AON-CONCORRENTES-NBRD,Conversão,id,5602.07,4,344,51233.72,348227,13341,0.10934341679659411,0,0,5602.07,0,0,0,0,51233.72,0,100,0,0,100,"pmax_sem_anuncio,safe_ad",anuncio
2025-11-03,id|azul|google ads|20508311506,BRV_VA_GOOGLE_SEARCH_LF_AON-US-PASSENGER-BRD_PASS,Google Ads,AON-US-PASSENGER-BRD,Conversão,id,4802.02,2,51,3960.58,2868,451,1.2124537315241708,4802.02,0,0,0,0,0,0,3960.58,0,100,0,100,100,"pmax_sem_anuncio,safe_ad",anuncio
2025-11-03,id|azul|google ads|20417584768,BRV_VA_GOOGLE_PMAX_LF_AON-MARCA_PASS,Google Ads,AON-MARCA,Conversão,id,3594.36,6,194,125452.9,2916938,67552,0.028651071437965966,0,0,3594.36,0,0,0,0,0,125452.9,100,0,0,0,pmax_sem_anuncio,campanha
2025-11-03,id|azul|google ads|11382534426,BRV_VA_GOOGLE_SEARCH_LF_AON-GENERICA-NBRD_PASS,Google Ads,AON-GENERICA-NBRD,Conversão,id,3082.61,3,479,13720.679999999998,68941,5224,0.22466889396152381,2855.08,0,227.53,0,0,0,0,13720.679999999998,0,100,0,92.618917086494875,100,"pmax_sem_anuncio,safe_ad",anuncio
2025-11-03,id|azul|google ads|21502808087,VML_VA_GOOGLE_DEMAND-GEN_LF_VANTAGEM-OTA_HOTEL,Google Ads,VML_VA_GOOGLE_DEMAND-GEN_LF_VANTAGEM-OTA_HOTEL,Conversão,id,1265.46,1,11,476.46,22903,430,2.655962725097595,1265.46,0,0,0,0,0,0,476.46,0,100,0,100,100,safe_ad,anuncio
2025-11-03,id|azul|google ads|22501211479,VML_VA_GOOGLE_DISPLAY_MF_OFERTAS-AON_PASS,Google Ads,VML_VA_GOOGLE_DISPLAY_MF_OFERTAS-AON_PASS,Consideração,id,451.4,1,40,320.46,13885,1513,1.4086001373026276,451.4,0,0,0,0,0,0,320.46,0,100,0,100,100,safe_ad,anuncio
2025-11-03,id|azul|google ads|18742168531,VML_VA_GOOGLE_DEMAND-GEN_LF_AON_PASS,Google Ads,VML_VA_GOOGLE_DEMAND-GEN_LF_AON_PASS,Conversão,id,0,0,10,3109.3700000000008,85713,234,0,0,0,0,0,0,0,0,3109.3700000000008,0,,,,100,safe_ad,anuncio
2025-11-03,id|azul|google ads|21780104044,VML_VA_GOOGLE_DISPLAY_MF_AON_PASS,Google Ads,VML_VA_GOOGLE_DISPLAY_MF_AON_PASS,Consideração,id,0,0,25,1489.18,70714,8657,0,0,0,0,0,0,0,0,1489.18,0,,,,100,"anuncio_ambiguo,safe_ad",anuncio
2025-11-03,id|azul|google ads|21501016741,VML_VA_GOOGLE_DISPLAY_LF_VANTAGEM-OTA_HOTEL,Google Ads,VML_VA_GOOGLE_DISPLAY_LF_VANTAGEM-OTA_HOTEL,Conversão,id,0,0,2,428.64,172645,6157,0,0,0,0,0,0,0,0,428.64,0,,,,100,safe_ad,anuncio
2025-11-03,id|azul|google ads|22969786299,AZ_VA_GOOGLE_YOUTUBE_UF_CONGONHAS_PASS,Google Ads,AZ_VA_GOOGLE_YOUTUBE_UF_CONGONHAS_PASS,Awareness,id,0,0,2,6326.04,2751618,1617,0,0,0,0,0,0,0,0,6326.04,0,,,,100,anuncio_ambiguo,anuncio
2025-11-03,id|azul|google ads|22501274332,VML_VA_GOOGLE_DEMAND-GEN_MF_OFERTAS-AON_PASS,Google Ads,VML_VA_GOOGLE_DEMAND-GEN_MF_OFERTAS-AON_PASS,Consideração,id,0,0,6,649.41,24643,324,0,0,0,0,0,0,0,0,649.41,0,,,,100,safe_ad,anuncio
2025-11-03,name|azul|awin|não identificado,NÃO IDENTIFICADO,Awin,NÃO IDENTIFICADO,Conversão,name,,,,10513.996799999999,0,0,,,,,,,,,0,10513.996799999999,,,,0,,campanha
2025-11-03,name|azul|bing ads|brv_va_bing_search_lf_eua-passenger_pass,BRV_VA_BING_SEARCH_LF_EUA-PASSENGER_PASS,Bing Ads,EUA-PASSENGER,Conversão,name,,,,2037.54,2794,71,,,,,,,,,0,2037.54,,,,0,,campanha
2025-11-03,name|azul|rtb|vml_va_rtb-house_display_mf_aon_pass,VML_VA_RTB-HOUSE_DISPLAY_MF_AON_PASS,RTB,AON,Consideração,name,,,,2964.4879999999985,647731,11062,,,,,,,,,0,2964.4879999999985,,,,0,,campanha
2025-11-03,name|azul|kayak|não identificado,NÃO IDENTIFICADO,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,2878.2000000000007,0,1037,,,,,,,,,0,2878.2000000000007,,,,0,,campanha
2025-11-03,name|azul|rtb|vml_va_rtb-house_display_lf_aon_pass,VML_VA_RTB-HOUSE_DISPLAY_LF_AON_PASS,RTB,AON,Conversão,name,,,,11964.4,1310629,4273,,,,,,,,,0,11964.4,,,,0,,campanha
2025-11-03,name|azul|bing ads|brv_va_bing_search_lf_marca_pass,BRV_VA_BING_SEARCH_LF_MARCA_PASS,Bing Ads,MARCA,Conversão,name,,,,20484.420000000002,37142,7341,,,,,,,,,0,20484.420000000002,,,,0,,campanha
2025-11-03,name|azul|bing ads|brv_va_bing_search_lf_concorrentes_pass,BRV_VA_BING_SEARCH_LF_CONCORRENTES_PASS,Bing Ads,CONCORRENTES,Conversão,name,,,,18339.670000000002,714361,5743,,,,,,,,,0,18339.670000000002,,,,0,,campanha
2025-11-03,id|azul|google ads|22858128667,BRV_VA_GOOGLE_SEARCH_LF_AON-CANCELAMENTO-BRD_PASS,Google Ads,AON-CANCELAMENTO-BRD,Conversão,id,,,,206.59,2152,427,,,,,,,,,206.59,0,,,,100,,anuncio
